id;nomMunicipio;f_nacim;f_destete;alzada;peso;sexo;tipo
224;Aller;29/10/2005;27/03/2006;100;216;H;C
225;Pravia;17/02/2007;17/07/2007;107;203;M;N
226;Somiedo;10/05/2011;24/11/2011;110;223;H;C
227;Salas;12/12/2011;30/03/2012;100;198;M;C
228;Morcín;15/03/2008;10/12/2008;110;327;M;C
229;Cangas del Narcea;14/06/2006;13/11/2006;94;159;H;C
230;Cangas del Narcea;18/02/2008;20/06/2008;98;197;H;C
231;Tineo;15/02/2008;22/08/2008;100;272;M;C
232;Regueras (Las);10/01/2012;11/04/2012;98;163;H;C
233;Tineo;13/06/2009;19/01/2010;96;215;H;C
234;Candamo;26/06/2009;01/12/2009;106;308;M;C
235;Cáceres;05/03/2005;10/06/2005;0;134;M;C
236;Llanera;10/07/2004;15/03/2005;0;266;M;N
237;Cangas del Narcea;30/07/2005;26/01/2006;110;252;H;C
238;Mieres;28/10/2007;15/04/2008;105;215;M;C
239;Allande;08/08/2004;01/02/2005;102;206;M;C
240;Cangas del Narcea;22/02/2007;05/07/2007;104;221;M;AC
241;Gozón;09/11/2003;29/03/2004;94;147;M;N
242;Gozón;01/08/2007;27/11/2007;106;193;M;C
243;Cabranes;16/05/2004;23/11/2004;90;150;H;C
244;Cangas del Narcea;28/12/2009;28/06/2010;107;285;M;C
245;Cangas del Narcea;28/10/1999;31/05/2000;0;191;M;C
246;Morcín;28/11/2011;11/04/2012;102;193;H;C
247;Belmonte de Miranda;16/02/2007;16/10/2007;110;280;H;C
248;Grandas de Salime;03/10/2005;20/03/2006;116;380;M;C
249;Aller;03/09/2008;10/02/2009;95;201;M;C
250;Somiedo;13/01/2011;16/05/2011;83;103;M;C
251;Bergara;01/03/2006;20/06/2006;100;212;M;C
252;Somiedo;10/04/2011;07/10/2011;108;278;M;C
253;Allande;21/03/2010;16/12/2010;109;257;H;C
254;Mieres;11/07/2010;17/11/2010;98;178;H;C
255;Aller;20/02/2011;15/11/2011;109;254;H;C
256;Ribadesella;17/04/2007;03/10/2007;95;143;H;N
257;San Martín del Rey Aurelio;02/04/2009;10/12/2009;111;277;H;C
258;Somiedo;04/04/2010;13/12/2010;107;222;H;C
259;Belmonte de Miranda;24/09/2005;28/02/2006;100;202;H;C
260;Lena;02/05/2009;04/12/2009;105;207;H;C
261;Llanes;20/02/2010;18/11/2010;105;226;H;AC
262;Caso;28/12/2007;21/04/2008;87;217;H;N
263;Cabranes;06/05/2010;22/09/2010;93;141;H;C
264;Salas;26/05/2004;22/02/2005;109;335;M;C
265;Quirós;20/04/2012;20/12/2012;104;185;H;C
266;Oviedo;10/01/2007;06/07/2007;101;223;M;C
267;Belmonte de Miranda;03/03/2010;24/08/2010;106;202;H;C
268;Tineo;07/04/2012;26/11/2012;108;297;H;C
269;Cangas del Narcea;19/04/2007;14/11/2007;106;267;M;C
270;Tineo;10/09/2008;20/02/2009;100;193;H;C
271;Somiedo;03/11/2006;27/02/2007;96;164;M;C
272;Somiedo;24/03/2012;27/09/2012;97;164;H;C
273;Cangas del Narcea;06/03/2011;10/08/2011;95;211;H;C
274;Grado;06/06/2008;17/11/2008;108;231;H;C
275;Somiedo;03/05/2010;21/12/2010;102;202;H;C
276;Oviedo;20/03/2011;26/10/2011;112;322;M;C
277;Cangas del Narcea;20/10/2010;05/04/2011;100;185;H;C
278;Tineo;22/02/2011;23/08/2011;102;246;H;C
279;Somiedo;08/01/2012;16/05/2012;98;174;H;C
280;Lena;11/02/2011;05/11/2011;108;258;H;C
281;Salas;03/02/2007;27/07/2007;106;201;H;C
282;Llanera;03/05/2010;28/09/2010;98;165;H;C
283;Llanera;02/06/2008;02/10/2008;97;187;M;C
284;Grado;02/04/2010;07/10/2010;88;118;M;C
285;Luena;15/08/2009;17/03/2010;98;184;H;C
286;Candamo;02/10/2007;07/06/2008;105;207;H;C
287;Lena;17/10/2007;29/01/2008;99;178;H;C
288;Allande;05/03/2006;23/10/2006;113;316;H;C
289;Quirós;13/05/2006;22/09/2006;87;122;H;C
290;Teverga;21/03/2012;26/09/2012;106;219;M;C
291;Tineo;15/04/2004;03/11/2004;113;272;M;N
292;Somiedo;07/03/2004;01/09/2004;0;230;M;C
293;Mieres;03/05/2011;22/11/2011;102;168;M;N
294;Onís;24/02/2009;18/11/2009;94;182;H;N
295;Quirós;07/02/2011;25/10/2011;114;301;H;C
296;Piloña;20/07/2004;19/11/2004;94;183;H;C
297;Llanera;08/06/2005;01/12/2005;104;272;M;C
298;Carreño;17/05/2007;22/11/2007;95;182;H;C
299;Salas;13/03/2011;03/08/2011;106;258;H;N
300;Rionansa;10/03/2006;25/10/2006;100;169;H;N
301;Lena;10/03/2012;19/11/2012;109;292;M;C
302;Allande;04/03/2012;02/10/2012;106;285;H;C
303;Somiedo;05/05/2011;29/12/2011;108;250;M;C
304;Camaleño;25/02/2011;28/10/2011;106;250;H;C
305;Belmonte de Miranda;19/10/2007;19/02/2008;85;108;M;C
306;Laviana;05/03/2012;26/07/2012;103;219;M;C
307;Tineo;09/01/2006;30/05/2006;95;181;H;C
308;Villaviciosa;14/09/2005;07/03/2006;98;190;H;C
309;Val de San Vicente;02/04/2007;22/10/2007;89;165;H;C
310;Grado;21/03/2011;31/10/2011;103;227;M;C
311;Lena;26/10/2011;20/02/2012;100;207;M;C
312;Cangas del Narcea;05/08/2007;20/12/2007;96;206;H;C
313;Lena;15/04/2012;06/11/2012;106;216;H;N
314;Somiedo;08/06/2011;11/11/2011;98;175;H;C
315;Cangas del Narcea;01/11/2009;06/04/2010;100;208;M;C
316;Tineo;06/07/2007;28/01/2008;113;295;H;C
317;Somiedo;30/05/2004;01/06/2005;0;206;H;C
318;Llanera;19/05/2009;07/10/2009;97;153;M;C
319;Valdés;14/11/2005;27/02/2006;112;279;M;N
320;Valdés;05/08/2005;22/02/2006;99;191;H;C
321;Pravia;06/07/2009;19/02/2010;114;289;H;C
322;Llanera;12/06/2011;07/03/2012;116;292;M;N
323;Balboa;02/04/2005;14/09/2005;91;149;M;C
324;Tineo;17/02/2008;23/09/2008;100;181;H;C
325;Trucios-Turtzioz;29/04/2010;23/09/2010;98;178;H;C
326;Cangas del Narcea;15/09/2003;16/04/2004;0;258;M;C
327;Somiedo;06/02/2010;07/07/2010;100;214;M;C
328;Tineo;11/02/2004;25/10/2004;111;287;H;C
329;San Emiliano;12/10/2008;30/03/2009;89;125;H;C
330;Cabrillanes;26/02/2012;27/09/2012;105;223;H;C
331;Somiedo;31/10/2011;03/05/2012;109;294;M;C
332;Val de San Vicente;20/04/2008;03/11/2008;120;235;H;AC
333;Teverga;11/03/2008;26/11/2008;107;242;H;C
334;Tineo;17/01/2011;23/08/2011;108;303;H;C
335;Tineo;04/01/2011;30/09/2011;105;266;H;C
336;Ribadesella;01/02/2010;01/06/2010;90;141;H;C
337;Gozón;21/05/2010;11/01/2011;102;247;H;C
338;Cangas del Narcea;19/09/2009;30/12/2009;87;145;H;C
339;Gozón;02/05/2010;10/01/2011;106;258;H;N
340;Somiedo;01/04/2006;23/10/2006;105;274;M;C
341;Belmonte de Miranda;18/08/2005;20/02/2006;106;263;H;N
342;Cangas del Narcea;22/07/2009;03/02/2010;102;210;H;C
343;Villanueva de Oscos;05/06/2010;09/11/2010;107;246;M;C
344;Sobrescobio;27/02/2005;25/07/2005;0;176;M;N
345;Tineo;25/07/2010;30/11/2010;93;147;M;C
346;Llanera;11/05/2007;27/11/2007;111;307;H;C
347;Somiedo;03/10/2004;28/03/2005;0;196;H;AC
348;Cangas del Narcea;08/02/2010;09/09/2010;112;272;H;C
349;Azpeitia;25/01/2007;30/07/2007;111;261;H;C
350;Pesaguero;10/02/2008;10/11/2008;109;250;H;AC
351;Belmonte de Miranda;01/07/2010;28/01/2011;100;192;H;C
352;Salas;07/05/2010;28/01/2011;107;268;H;C
353;San Martín de Oscos;24/03/2007;19/10/2007;102;210;H;C
354;Somiedo;25/01/2005;15/08/2005;0;208;M;C
355;Grado;03/08/2007;19/12/2007;99;193;H;C
356;Somiedo;29/12/2009;06/05/2010;95;194;M;C
357;Oviedo;03/04/2005;29/07/2005;91;156;H;C
358;Santa Eulalia de Oscos;15/02/2008;20/08/2008;110;358;M;C
359;Aller;19/02/2012;11/11/2012;106;233;H;C
360;Cangas del Narcea;22/02/2007;23/08/2007;104;227;H;C
361;Tineo;07/01/2012;19/04/2012;97;153;H;C
362;Cangas del Narcea;08/03/2010;03/08/2010;92;155;M;C
363;Oviedo;08/03/2009;08/07/2009;98;179;H;C
364;Teverga;29/03/2008;01/12/2008;110;249;H;C
365;Somiedo;01/02/2006;06/08/2006;0;221;M;N
366;Gozón;01/03/2010;29/09/2010;112;277;H;N
367;Tineo;20/10/2009;24/02/2010;96;177;M;AC
368;Castropol;18/12/2005;13/07/2006;105;281;M;C
369;Gijón;30/05/2006;09/11/2006;98;190;M;C
370;Allande;10/09/2009;12/01/2010;113;266;H;C
371;Salas;16/07/2006;19/03/2007;109;336;H;C
372;Piloña;25/01/2011;22/09/2011;100;216;H;C
